Impulz; Pulz/Sekunda; uSv/h; Pulz/Minuta; Sekunda měření; % do konce
495; 1.02; 0.384; 60.96; 487.2; 0.812
496; 1.02; 0.3843; 61.01; 487.8; 0.813
497; 1.01; 0.3832; 60.82; 490.3; 0.817
498; 1.01; 0.3825; 60.71; 492.2; 0.82
499; 1.01; 0.3829; 60.77; 492.6; 0.821
500; 1.01; 0.3835; 60.87; 492.9; 0.821
501; 1.01; 0.3836; 60.89; 493.7; 0.823
502; 1.02; 0.3837; 60.91; 494.5; 0.824
503; 1.02; 0.3837; 60.91; 495.5; 0.826
504; 1.02; 0.3841; 60.97; 496.0; 0.827
505; 1.02; 0.3847; 61.07; 496.1; 0.827
506; 1.02; 0.3853; 61.17; 496.4; 0.827
507; 1.02; 0.386; 61.27; 496.5; 0.827
508; 1.02; 0.3863; 61.31; 497.1; 0.829
509; 1.02; 0.3865; 61.35; 497.8; 0.83
510; 1.02; 0.3871; 61.44; 498.1; 0.83
511; 1.03; 0.3877; 61.54; 498.2; 0.83
512; 1.03; 0.3879; 61.57; 498.9; 0.832
513; 1.03; 0.3883; 61.63; 499.4; 0.832
514; 1.03; 0.388; 61.59; 500.7; 0.835
515; 1.03; 0.3882; 61.62; 501.5; 0.836
516; 1.02; 0.3873; 61.47; 503.6; 0.839
517; 1.03; 0.3878; 61.56; 503.9; 0.84
518; 1.03; 0.3885; 61.67; 504.0; 0.84
519; 1.03; 0.3891; 61.75; 504.3; 0.84
520; 1.03; 0.3883; 61.64; 506.2; 0.844
521; 1.03; 0.389; 61.74; 506.3; 0.844
522; 1.03; 0.3896; 61.85; 506.4; 0.844
523; 1.03; 0.3901; 61.92; 506.8; 0.845
524; 1.03; 0.3908; 62.03; 506.9; 0.845
525; 1.04; 0.3913; 62.12; 507.1; 0.845
526; 1.04; 0.3914; 62.13; 507.9; 0.847
527; 1.04; 0.3917; 62.17; 508.6; 0.848
528; 1.03; 0.3876; 61.52; 514.9; 0.858
529; 1.03; 0.3881; 61.6; 515.3; 0.859
530; 1.03; 0.3875; 61.5; 517.0; 0.862
531; 1.03; 0.3875; 61.5; 518.0; 0.863
532; 1.02; 0.387; 61.43; 519.6; 0.866
533; 1.03; 0.3876; 61.52; 519.8; 0.866
534; 1.03; 0.3883; 61.64; 519.8; 0.866
535; 1.03; 0.3889; 61.73; 520.0; 0.867
536; 1.03; 0.3892; 61.77; 520.6; 0.868
537; 1.03; 0.3898; 61.87; 520.7; 0.868
538; 1.03; 0.3885; 61.67; 523.4; 0.872
539; 1.03; 0.389; 61.75; 523.7; 0.873
540; 1.03; 0.3896; 61.85; 523.9; 0.873
541; 1.03; 0.39; 61.9; 524.4; 0.874
542; 1.03; 0.3903; 61.94; 525.0; 0.875
543; 1.03; 0.3898; 61.88; 526.5; 0.878
544; 1.03; 0.3899; 61.89; 527.4; 0.879
545; 1.03; 0.3897; 61.86; 528.6; 0.881
546; 1.02; 0.3872; 61.46; 533.1; 0.888
547; 1.03; 0.3876; 61.53; 533.4; 0.889
548; 1.03; 0.388; 61.58; 533.9; 0.89
549; 1.02; 0.3868; 61.4; 536.5; 0.894
550; 1.03; 0.3875; 61.5; 536.6; 0.894
551; 1.03; 0.3875; 61.5; 537.6; 0.896
552; 1.03; 0.3879; 61.57; 537.9; 0.897
553; 1.03; 0.3875; 61.5; 539.5; 0.899
554; 1.03; 0.3882; 61.61; 539.5; 0.899
555; 1.03; 0.3887; 61.7; 539.7; 0.9
556; 1.03; 0.389; 61.74; 540.3; 0.9
557; 1.03; 0.3896; 61.83; 540.5; 0.901
558; 1.03; 0.3901; 61.93; 540.6; 0.901
559; 1.03; 0.3906; 62.0; 540.9; 0.902
560; 1.03; 0.3911; 62.08; 541.3; 0.902
561; 1.03; 0.3906; 62.01; 542.8; 0.905
562; 1.03; 0.3903; 61.96; 544.2; 0.907
563; 1.03; 0.3908; 62.04; 544.5; 0.908
564; 1.04; 0.3915; 62.14; 544.6; 0.908
565; 1.04; 0.3921; 62.24; 544.6; 0.908
566; 1.04; 0.3922; 62.26; 545.5; 0.909
567; 1.04; 0.3923; 62.26; 546.4; 0.911
568; 1.04; 0.3926; 62.33; 546.8; 0.911
569; 1.04; 0.3931; 62.39; 547.2; 0.912
570; 1.04; 0.393; 62.38; 548.2; 0.914
571; 1.04; 0.3933; 62.42; 548.8; 0.915
572; 1.04; 0.3929; 62.36; 550.4; 0.917
573; 1.04; 0.3934; 62.44; 550.6; 0.918
574; 1.04; 0.3941; 62.55; 550.6; 0.918
575; 1.04; 0.394; 62.54; 551.7; 0.919
576; 1.04; 0.3935; 62.46; 553.3; 0.922
577; 1.04; 0.3941; 62.55; 553.4; 0.922
578; 1.04; 0.3942; 62.57; 554.3; 0.924
579; 1.04; 0.3948; 62.67; 554.3; 0.924
580; 1.04; 0.3944; 62.61; 555.9; 0.926
581; 1.04; 0.3945; 62.61; 556.8; 0.928
582; 1.04; 0.395; 62.7; 557.0; 0.928
583; 1.05; 0.3954; 62.76; 557.4; 0.929
584; 1.05; 0.3955; 62.78; 558.1; 0.93
585; 1.04; 0.3948; 62.66; 560.2; 0.934
586; 1.04; 0.3948; 62.66; 561.1; 0.935
587; 1.04; 0.3938; 62.51; 563.5; 0.939
588; 1.04; 0.3939; 62.53; 564.2; 0.94
589; 1.04; 0.3938; 62.51; 565.4; 0.942
590; 1.04; 0.3944; 62.61; 565.4; 0.942
591; 1.04; 0.3942; 62.58; 566.7; 0.944
592; 1.04; 0.3939; 62.53; 568.1; 0.947
593; 1.04; 0.3935; 62.46; 569.7; 0.949
594; 1.04; 0.3939; 62.52; 570.1; 0.95
595; 1.04; 0.3944; 62.6; 570.3; 0.95
596; 1.04; 0.3949; 62.68; 570.5; 0.951
597; 1.04; 0.3941; 62.55; 572.6; 0.954
598; 1.04; 0.3947; 62.65; 572.7; 0.955
599; 1.05; 0.3951; 62.71; 573.1; 0.955
600; 1.05; 0.3955; 62.78; 573.5; 0.956
601; 1.05; 0.3959; 62.84; 573.8; 0.956
602; 1.05; 0.3958; 62.83; 574.9; 0.958
603; 1.05; 0.3956; 62.79; 576.2; 0.96
604; 1.05; 0.395; 62.71; 577.9; 0.963
605; 1.05; 0.3955; 62.77; 578.3; 0.964
606; 1.05; 0.3959; 62.85; 578.5; 0.964
607; 1.05; 0.3963; 62.91; 579.0; 0.965
608; 1.05; 0.3968; 62.99; 579.2; 0.965
609; 1.05; 0.3972; 63.04; 579.6; 0.966
610; 1.05; 0.3965; 62.93; 581.6; 0.969
611; 1.05; 0.3969; 63.01; 581.8; 0.97
612; 1.05; 0.3967; 62.97; 583.1; 0.972
613; 1.05; 0.3959; 62.83; 585.3; 0.976
614; 1.05; 0.3955; 62.78; 586.8; 0.978
615; 1.05; 0.3952; 62.73; 588.2; 0.98
616; 1.05; 0.3957; 62.81; 588.4; 0.981
617; 1.04; 0.3949; 62.68; 590.6; 0.984
618; 1.05; 0.3954; 62.77; 590.8; 0.985
619; 1.05; 0.3959; 62.84; 591.0; 0.985
620; 1.05; 0.3958; 62.83; 592.0; 0.987
621; 1.05; 0.3958; 62.82; 593.1; 0.989
622; 1.05; 0.3962; 62.88; 593.5; 0.989
623; 1.05; 0.3961; 62.88; 594.5; 0.991
624; 1.05; 0.3966; 62.95; 594.8; 0.991
625; 1.05; 0.397; 63.01; 595.1; 0.992
626; 1.05; 0.3972; 63.05; 595.7; 0.993
627; 1.05; 0.396; 62.86; 598.5; 0.997
628; 1.05; 0.3964; 62.92; 598.8; 0.998
629; 1.05; 0.3968; 62.99; 599.2; 0.999
